index,reward,V_reward,attitude_penalty,wm_penalty,beta_penalty,action_sum_penalty,action_penalty,steps
139,-4453.65002436291,-1493.6986824024646,-332.58031578409935,-1260.472247978607,-404.57038041563567,-134.6706140783345,-496.41804316642947,2000
140,-3003.823839524367,-1430.9999798783601,-190.72793484978118,-978.5379774397587,-278.8712123108279,-66.63249079062955,-614.5511499102612,2000
141,-1209.3862035570965,-1218.780174915288,-53.12271796352982,-668.3861493726822,-88.98899231883865,-110.50179045175261,-459.83304907845985,2000
142,-1075.3291046491397,-806.8895468912266,-24.98332228636718,-704.1781900947595,-291.70241820019913,-65.98633820904023,-507.9769472844346,2000
143,-716.1639538528082,-465.5031461128791,-30.402563533491886,-917.7113298734475,-475.16432689997504,-211.79564587881353,-524.9384322552698,2000
144,-890.267325803068,-687.0247090429583,-62.130327097450476,-770.3685931372918,-60.29908131849204,-122.58849553798599,-395.2102260693209,2000
145,-948.5581036964878,-847.8997610851022,-35.88950138751753,-780.3707625384228,-325.7748796986189,-149.70797317824915,-462.39072679677156,2000
146,-490.9656969329976,-541.8323272095726,-42.13505998655614,-732.8160958963076,-210.81639286386275,-109.63897294824399,-436.5391739988059,2000
147,-292.86921719116987,-550.7358175838465,-50.652602569431096,-689.0228288881932,-57.035613764868884,-195.3062844560394,-374.52057526085883,2000
148,-4878.061900786173,-1674.7983789633452,-364.037021183252,-1332.2038419823855,-371.66778632288776,-197.44698095018566,-513.8183542698814,2000
149,-1563.1657794867488,-771.309750844507,-85.90833453551714,-864.2164516829266,-377.50639684163116,-100.48441520636298,-486.25746528881234,2000
150,-1298.2868005773637,-1266.017974831502,-58.19359512170109,-766.225415696015,-60.852931641232004,-153.61112963220413,-466.38046086166224,2000
151,-1230.7956690060182,-540.801172897771,-46.30088501436307,-934.781745141367,-652.638142355162,-165.2501466603152,-485.2953796228955,2000
152,-1687.0142966990347,-687.5859476743523,-66.04897995596454,-868.1912153843533,-490.1684424430493,-113.26599473795412,-506.19336798236816,2000
153,-1930.3975293543542,-728.9501145445541,-110.38776596685031,-832.1312003749371,-385.4336626635106,-125.27650413944095,-506.8203424134734,2000
154,-1415.8458785616692,-681.7539733008293,-89.60730242865583,-854.5631265367824,-301.5441938606946,-117.22106170165097,-472.25931814894716,2000
155,-933.7489430847781,-690.2817015673857,-33.615897084569696,-726.0317211334942,-177.69431949995845,-186.73582046243294,-444.78125420907844,2000
156,-396.9944978480162,-533.381793440606,-61.387169919833944,-768.8485978930607,-67.24071780043951,-258.4457104996678,-400.40142173293685,2000
157,-548.9795290054791,-881.0044342072497,-24.034650811250454,-737.7959313604911,-56.99665885116608,-274.33693859301536,-404.3289426434127,2000
158,-1934.205935260768,-1563.176674956685,-50.4078854472291,-702.3526233635541,-166.91827991473187,-92.69699909579396,-513.4467533998157,2000
159,-918.0688565445928,-922.4879099273762,-34.601108181889295,-748.7397057143683,-138.07785218166367,-293.0555978331875,-467.341958773918,2000
160,-1513.2260065373102,-725.8462528654221,-60.396288752338684,-899.9555864391398,-185.61513237469296,-333.44896923080324,-437.05393695554375,2000
161,-2128.4754378929097,-1271.399249831271,-66.53229539629554,-940.5379360160698,-554.3764645309974,-61.58883035531391,-538.0677634870957,2000
162,-1283.5054534435099,-674.1933114050393,-23.70011792575949,-900.4206477050478,-663.5740901534829,-90.36502780781109,-507.804330022657,2000
163,-567.0880189117008,-563.1830932343677,-40.89901555070842,-925.6519805625857,-73.33643120696615,-404.9030317205418,-373.42094624481143,2000
164,-552.0117842611179,-532.7435657770235,-29.950959102334668,-787.9900771595205,-154.38447349874932,-194.8954941365407,-422.62775999308127,2000
165,-229.5446360633243,-526.7018978149149,-43.75050223482664,-798.1896283427056,-34.05110519125545,-180.33856674966202,-364.18039283466305,2000
