index,reward,los_reward,wm_penalty,wm_dot_penalty,safety_penalty,steps
136,-3565.1025079459027,-3759.7631564411367,-3.2339393901506934,-11.140824834910589,-120.85366181191472,1699
137,-2929.9679137005323,-3124.2517220802956,-1.6048029373844477,-3.475457886674627,-103.80018932635952,1307
138,-3118.89162215431,-3320.577086312709,-3.354021289803295,-8.184775231316733,-108.18986437590539,1392
139,-3323.8450422845885,-3545.1404443308907,-3.369036654628645,-9.420937291225675,-115.00884088563797,1486
140,-3323.5030987943596,-3532.805331464685,-2.549561585464141,-9.23041475878236,-110.27363493946424,1535
141,-3355.907042280988,-3559.505869933359,-3.097712139683691,-10.736218018918452,-105.84968999189132,1541
142,-3603.044114204418,-3805.702032164434,-4.084397609701105,-14.60684493022451,-108.94822302225242,1712
143,-3547.753556540321,-3741.56550370613,-4.623098026539531,-11.157485046114092,-116.60701715311163,1727
144,-3434.5803652645313,-3641.7198955050335,-3.425225604293861,-8.827079742895926,-108.89466770570543,1588
145,-3305.094495433792,-3504.923881977413,-2.5624048534404005,-9.00774128647176,-108.97574089038149,1482
146,-3538.74742796233,-3748.3797723568064,-3.689233799032292,-13.570386798599966,-108.95687678859892,1608
147,-3495.1114850962454,-3709.6244637720197,-3.8548001493332205,-13.563076371090794,-114.31558834912627,1619
148,-3292.4387288513517,-3503.0658609233224,-3.454731153805518,-8.056003238068318,-116.71399355894405,1468
149,-3842.3172286772574,-4065.6965723226767,-5.870860081739689,-12.042645709761896,-127.63897388165114,1772
150,-3882.959125996135,-4118.11757680599,-4.837929522885546,-12.975800070980878,-124.61903940193127,1768
151,-3382.898786332048,-3586.6429643129845,-4.484928038763251,-9.177143753629165,-107.62845437781382,1560
152,-3463.1717213228717,-3670.751079360751,-3.046576702801248,-9.280440240034002,-111.40609425218469,1596
153,-3655.4894184887025,-3886.674494858379,-4.127109636892687,-13.60279538785156,-122.44977742931816,1649
154,-3108.9424007747903,-3279.238883320944,-2.1953903726664783,-6.683671021360814,-109.22586787005066,1405
155,-3838.8387646948067,-4082.827866600054,-4.185498669755427,-12.623083014815508,-125.16591677095363,1733
156,-3410.0532892501105,-3615.3927389164846,-2.4150751424064945,-8.768353387502774,-108.12812303165781,1581
157,-3079.5694287799292,-3264.6529424376813,-2.730500101877139,-7.899610883191017,-102.20494722426864,1452
158,-3324.1836185352986,-3500.6942188052385,-3.1299474751826786,-11.919862811672676,-113.2665252720336,1751
159,-3853.868700736754,-4089.9546979721317,-4.4043519854118065,-11.959591207783866,-123.12942138911836,1756
160,-3335.789271640761,-3551.12412735745,-5.365726795952755,-11.154074626285261,-113.66754187202272,1534
161,-2944.961317321411,-3150.6796187712707,-2.104390382355367,-4.415310679694338,-104.04389309239468,1309
162,-3199.5,-3418.032877087961,-2.0820054034881483,-6.551228603683653,-112.28643461536545,1422
163,-3010.5,-3219.6850029350903,-2.207631249720538,-5.3170791452003545,-106.15838899988896,1338
164,-2864.0957981816405,-3056.8209615696996,-1.8671591493373625,-3.381081649970947,-97.82309317965668,1292
165,-3405.7022755933262,-3623.5089071059324,-2.254670766922646,-8.474133366548413,-112.55900045552299,1529
166,-3435.652985079991,-3619.015624835145,-3.8488799934512183,-13.625219587083144,-115.6275601407616,1631
167,-3281.609285496563,-3483.5359676160256,-2.5748243716278605,-8.85823596886617,-105.32307433234818,1507
168,-3572.9916859139516,-3761.661702245923,-4.879237656540272,-15.506548937796598,-119.99409814852814,1695
169,-3268.270398176526,-3480.0473158229624,-3.0329771266879346,-9.886935890418718,-114.17334911932198,1461
170,-3510.235646901489,-3713.271695354278,-4.032208228305585,-15.241646826742762,-114.62808103559432,1654
171,-3611.382584810062,-3845.605304848997,-4.4525873155227496,-11.843153545834081,-120.15140175558129,1625
172,-3044.8943685410927,-3245.9684044687597,-2.154763714566304,-5.85376711279851,-102.13007019930043,1366
173,-3454.4031366899153,-3672.6478481880235,-4.771213045582943,-9.595285627675613,-117.9602291577441,1548
174,-3325.211377467419,-3544.2275306959987,-2.9467160634652942,-7.844794498667637,-111.23580634212796,1487
175,-2966.2469007069753,-3171.1257668597777,-1.7059805591714006,-3.794466866829607,-104.74540183193186,1319
176,-3581.050645413254,-3802.8207716089673,-3.7986515446379134,-10.834208763181973,-115.27856956184475,1623
177,-3572.240456617211,-3795.8973760296344,-4.090812893750792,-10.003304162820733,-118.9854315271679,1598
178,-3590.047260350955,-3807.087035782444,-2.752764432019429,-9.85532779369202,-116.6255316997805,1644
179,-3242.4782124062135,-3450.49650126422,-2.309040766517416,-8.425097423930461,-106.22975171598137,1475
180,-3429.651765132956,-3628.987530064691,-3.043933727259573,-9.17997746422518,-110.70784881975737,1534
181,-3618.0101801121277,-3826.833283219777,-3.7616763168620846,-9.560267753667024,-123.3615707012748,1618
182,-3503.847064078793,-3684.0655319713196,-5.206032614181914,-18.279044685889694,-119.72037127174616,1769
183,-3761.9508859538755,-3964.4715809786762,-2.722824573213702,-9.646230910114255,-124.86791662704012,1731
184,-3291.8410254210357,-3510.3829528121637,-3.9428134319025374,-9.706968766860378,-114.4128556831849,1473
185,-3418.7907659688644,-3615.481263349337,-3.334871132642031,-11.48917477872663,-114.16873833104091,1649
186,-3644.911711702376,-3867.529390370409,-3.414171235274437,-9.558029654728497,-119.93189750022243,1669
187,-3482.50692767954,-3699.6833672138814,-4.423480468353052,-9.60348533289658,-112.66449784871803,1607
188,-3504.9756736782742,-3726.2822204319054,-2.679877332651927,-10.10805833138704,-116.2076342373462,1582
189,-3332.3552845751888,-3542.4777578938993,-2.9807774566607006,-7.962569465537095,-109.4627929353644,1516
190,-3033.6767861222397,-3235.1595379922883,-1.9571091885550067,-5.905214839702213,-105.0915186057244,1355
191,-3053.041997424822,-3250.5287036975196,-2.069049921044602,-5.376197074114373,-108.29844424272969,1363
192,-3267.129462121134,-3484.6814880415186,-2.911943772067595,-8.185968834867145,-114.14921694200666,1460
193,-3703.881967873894,-3915.003097218409,-2.739772798216829,-8.819530722300097,-121.87700670165981,1728
194,-3803.231973340609,-4029.676756347696,-3.648498863386626,-13.63363505325142,-119.0375282191514,1771
195,-3793.2096094007306,-4024.6537543846457,-2.254584132886959,-8.75819084238889,-118.37559977671715,1708
196,-3059.0450334718557,-3261.2316925589625,-1.7580142294758296,-4.52986436875028,-108.8317011728463,1370
197,-3183.910915668791,-3382.858146415187,-2.163395502527659,-7.216661768109595,-102.3744625114792,1423
198,-3725.7279326823573,-3948.6721310696785,-4.194969246907711,-12.13136438643134,-118.74650241279357,1689
199,-3378.6475700725864,-3605.3914245862516,-2.685742658734443,-9.18309305971785,-114.34087130782075,1502
200,-3057.0120317515484,-3269.0378368953634,-2.1811805055794538,-6.5871336380025935,-107.92790241956996,1359
201,-3375.0,-3540.323703641419,-2.454888558489799,-8.563343969808447,-114.95292926808821,1500
202,-2944.2184261255447,-3143.2971618872066,-1.6173391962179497,-3.6776484013895296,-104.13175957648681,1311
203,-3314.2469024726197,-3519.672626983371,-3.482377526974677,-8.37081900068355,-106.018144845637,1514
204,-3316.283145595753,-3483.9829233665955,-4.395429155815714,-15.946409234199344,-95.71808147221451,1704
205,-3774.077805009397,-3984.168887055526,-3.340900821225943,-8.876819576381846,-134.48968261561512,1723
206,-3236.1020646647266,-3400.7160910719754,-2.6143870622117764,-7.1037455822311255,-113.15887696633627,1484
207,-3771.9816300332864,-3999.636858777032,-2.9587810914522503,-10.889647141310343,-119.36320273989638,1720
208,-3111.7248019166436,-3314.334693239079,-2.1164680920925134,-6.394966015108609,-109.7604760418152,1386
209,-3373.2264777903342,-3600.6231671025107,-2.57585996773469,-8.712029666279568,-114.98201068417767,1500
210,-3730.8781337401338,-3940.0701629145046,-4.50626764443268,-9.86068453121696,-115.77275936046233,1733
211,-2904.076307540797,-3102.205020496421,-1.748566372625829,-3.9924737246179354,-102.50657777584382,1292
212,-3703.1459988646316,-3915.6486753844065,-3.705831818106536,-12.229091955404039,-117.28118286773167,1738
213,-3201.658709090534,-3375.996495258727,-3.5548429974222997,-8.869962810905395,-111.21217578560444,1521
214,-2273.4531403694596,-2205.880421944299,-2.073140725401458,-4.05730323867056,-103.81914744379637,1303
215,-3134.25,-3353.062269903595,-3.4010479401620906,-6.731961311022678,-110.96602768097517,1393
216,-3320.0517530101247,-3516.625021382016,-3.733416674201115,-8.820175600977304,-105.10512795518667,1552
217,-3574.9314811581185,-3795.5494206280164,-4.255620543328007,-12.827402348671976,-114.6480812770226,1669
218,-3480.7568385024424,-3676.642679873069,-2.9561026006544537,-8.572745579095683,-115.69506746176569,1561
219,-3409.0920837040176,-3619.0910094960163,-2.020942656330624,-7.480814988058889,-109.2098091934191,1589
220,-3768.0073497737535,-4005.598489783747,-4.233478638120251,-14.241379858813646,-128.47967733446734,1693
221,-3191.831543019782,-3394.94297776176,-3.0816284515304604,-8.62798843814055,-107.95338432470457,1439
222,-3839.365760695235,-4076.546545432704,-5.797366863024164,-17.28205510558879,-122.89514612134644,1760
223,-3315.9835134554933,-3543.115851486379,-2.648976309587976,-8.142207193917546,-115.54426468897009,1474
224,-3126.6958413366974,-3332.7127895047183,-2.171478857195037,-5.872755269579558,-104.22772285997124,1394
225,-3125.25,-3343.280727625379,-1.9949411863660558,-6.366561279077276,-109.73582380706169,1389
226,-3306.08864568671,-3469.229961972318,-4.54439974527389,-9.08368379936336,-114.98435763589501,1624
227,-3053.25,-3267.2073832074893,-1.9178493272235344,-5.4789550871207675,-107.64654242037606,1357
228,-3418.553761620442,-3613.000790771652,-4.006753528608753,-10.126363412983272,-113.41417132506503,1635
229,-3248.0477060046665,-3462.4607783942133,-2.824948940555541,-9.480945453618425,-108.95156036051492,1462
230,-3148.2555965673237,-3353.342069313104,-2.0064623970152025,-6.935451203840982,-112.28550791935548,1413
231,-3683.9508699170246,-3884.1618869292547,-3.724053275204361,-9.275905768080726,-114.06456557008012,1703
232,-3093.75,-3308.2725783491214,-2.4030717255216563,-5.515357577334288,-108.22841530461906,1375
233,-3557.7558707209387,-3758.6525903552188,-2.7621375977321234,-10.190411044844092,-126.11219645401133,1596
234,-3282.626357467218,-3486.3322597900383,-2.6181326107769203,-8.656135894058044,-106.67398099887717,1475
235,-3758.4289883854226,-3977.478112323554,-3.4450128233481245,-11.569391090915639,-116.93567016485396,1735
236,-3218.6947798534293,-3388.028476664543,-2.975977790421332,-9.705042574587015,-109.81501695083325,1631
237,-3240.0,-3460.196028110683,-2.0607936289128697,-6.708675813288133,-111.88233306346335,1440
238,-3304.273565387903,-3517.9669045057635,-2.626591424708873,-8.08691000448137,-110.52193953446891,1469
239,-3309.8963662926485,-3529.843152380308,-2.7781954189033846,-8.565965859812282,-111.45780748560081,1473
240,-3455.001027280305,-3669.685072712241,-2.430067730569614,-8.48084526297504,-120.4606733545211,1549
241,-3490.1605627812173,-3678.1861189492583,-3.5481391439661714,-12.716896991445816,-116.84224015394737,1617
242,-3363.116493853944,-3583.8280815164158,-2.5320372300470946,-8.643222237954253,-112.36186995693033,1497
243,-3138.6151988959623,-3332.8700893029873,-2.6100411902541985,-7.681594920248647,-103.23699188495974,1445
244,-3567.3949352045934,-3801.951657171896,-4.031653659538951,-9.596816309733045,-125.08616473039265,1587
245,-3850.949219352687,-4073.332109720368,-4.612795444752085,-15.708420461125513,-134.90764046626,1740
246,-3339.639143484474,-3537.914968939251,-1.9914503368129663,-6.887174386393909,-109.55132070510648,1515
247,-3405.386063250947,-3619.9825750221944,-5.0161133740165,-8.25461464390701,-113.02528656125261,1525
248,-3519.4865147842374,-3710.0847202400078,-2.4336780111951564,-8.476215793190782,-112.3831668907843,1578
249,-3675.051606792485,-3891.5310621571666,-5.3028873810347195,-13.223227791367734,-113.37706656954028,1697
250,-3424.225655101391,-3634.8553149058944,-2.7847923846759324,-7.875532223547961,-112.26256730945909,1540
251,-3201.9069464797444,-3412.7890160390466,-2.9222324410234304,-8.44599364205988,-108.68419489049295,1447
252,-3564.4797202616314,-3777.6505077723978,-4.926743928332344,-10.294539495535743,-125.18004503439374,1608
253,-3193.911189495082,-3405.378664020033,-3.2426340756647507,-9.129460367028992,-113.09094202742024,1429
254,-3717.0075646747882,-3930.495471099389,-4.249900898262805,-9.842729350272473,-115.67103817892725,1768
