index,reward,range_reward,closing_reward,los_yaw_rate_reward,los_pitch_rate_reward,vertical_attack_reward,gimbal_center_reward,terminal_reward,steps
173,-8944.82189589373,-2999.9999999999995,-349.0712327093527,1140.9380043286603,1820.8890761308062,-67.9092820480268,698.1525770206568,-9000.0,3000
174,-8941.696177918355,-2999.9999999999995,-360.1773113228194,1136.5293472412507,1842.0646259835132,-76.58238878240148,750.8412420684208,-9000.0,3000
175,-8931.691121489668,-2999.9999999999995,-327.21737243161493,1181.6054737346167,1814.9923806906484,-58.797027188604154,670.7453110141533,-9000.0,3000
176,-8938.478814350909,-2999.9999999999995,-350.84103543837057,1137.4445791256696,1849.7317043316932,-75.68109834396142,727.3767191780454,-9000.0,3000
177,-8942.51893097201,-2999.9999999999995,-342.99977750600004,1129.6814349942108,1838.6793404121092,-92.21036229958547,732.3093152373729,-9000.0,3000
178,-8945.531393662985,-2999.9999999999995,-362.3730598361915,1120.7938681367555,1849.331524465259,-89.17614965716466,750.5132287784636,-9000.0,3000
179,-8932.50047966247,-2999.9999999999995,-345.8808581036171,1170.2819474962912,1833.5652867374845,-59.557642139470005,710.8670856045449,-9000.0,3000
180,-8949.345993908486,-2999.9999999999995,-366.87871283955127,1105.0499101711341,1855.877249236372,-103.30289166743651,768.2533616389896,-9000.0,3000
181,-8932.267803566909,-2999.9999999999995,-315.2819323000912,1206.8661678384215,1801.9159703392463,-59.539891912219375,544.9227242735989,-9000.0,3000
182,-8941.29751644404,-2999.9999999999995,-357.5170375981223,1109.2365297809936,1865.023565450886,-93.55742980686195,800.7978540915,-9000.0,3000
183,-8936.370867620999,-2999.9999999999995,-326.8594849402168,1159.2341181013546,1822.204937572598,-68.40958982026497,667.4198876985272,-9000.0,3000
184,-8940.775371465988,-2999.9999999999995,-349.558325144265,1139.4825940881196,1840.3123350818405,-83.97208786773545,727.3010470920224,-9000.0,3000
185,-8914.990130565555,-3000.0,-318.54938189766114,1213.7313209777658,1845.963478186823,-67.2501356871974,677.1996571818725,-9000.0,3000
186,-8945.180728080828,-2999.9999999999995,-352.7344214068362,1121.8669248881513,1836.677625599908,-80.16798501525581,748.8327888236021,-9000.0,3000
187,-8727.151051132761,-3000.0,-2157.114279741988,2739.5959850052923,2675.816474150068,115.34555695750753,1586.4566022453107,-9000.0,3000
188,-8947.26473090489,-2999.9999999999995,-356.1794912136086,1135.2396240764724,1827.5222874972592,-66.57519523804318,676.2601546497489,-9000.0,3000
189,-8945.156289551862,-2999.9999999999995,-352.5640066521988,1141.963665724591,1819.2311995606149,-79.60949824152756,734.6650840069401,-9000.0,3000
