index,reward,los_reward,body_rate_penalty,body_accel_penalty,steps
198,2010.6713448243233,2356.5565285099724,-52.29804343046233,-112.02791071016047,798
199,1616.542996231007,1883.3073958848058,-46.562622447617166,-96.28353905457563,698
200,1033.0651629095548,1221.2811301714273,-31.883134983657257,-69.56960590398593,538
201,1915.752186436349,2245.9559653172555,-51.092981902667965,-108.52633491225218,774
202,1563.4764565584035,1843.2865936196692,-42.610250643834746,-94.8001961721087,693
203,1086.4131350723922,1267.1207645366594,-31.508513040945214,-71.47348479480449,544
204,132.95141480072303,161.8302204731272,-5.663496944336745,-17.59544468153648,184
205,218.68955264625248,264.831597583136,-9.81170834536315,-23.53527077371949,218
206,1586.8093260602082,1858.0383318915628,-42.81712346392845,-94.14618451786923,684
207,233.26678018952157,284.40579870982,-7.665649950933537,-19.53471241461326,175
208,830.5376674067655,989.7401641574459,-25.420804406889594,-55.660109656769784,450
209,1822.1929265576284,2135.035355691015,-48.54832635209172,-108.74841659964305,784
210,1366.9366180736108,1585.6565772208169,-36.87564180953751,-84.82670243646508,631
211,1684.8787497517378,1972.0111931448967,-44.52117618163551,-98.85854576381527,713
212,738.8899615678667,864.3591171902408,-21.29765059198355,-52.66312362568458,430
213,576.1882400108691,694.931617554393,-18.346908179454825,-43.97534200420063,369
214,772.8203154994599,922.458324995937,-22.516284450545268,-52.532723748437306,423
215,1540.9212331997242,1810.792515741953,-40.45033023279628,-91.85407108192447,667
216,717.0232384637953,849.8470899486243,-20.344689651560966,-51.09249119519604,427
217,478.28055974919806,570.4253901711414,-15.746283850032194,-38.708305618042644,334
218,377.0003005630024,456.6043705566374,-11.839897191149241,-32.20182127996907,282
219,1298.8793878128013,1538.215897351329,-35.55582820201624,-81.69147836149469,610
220,53.89514527688128,63.58775091933291,-3.837245690071958,-10.229333833156355,109
221,875.0035843853639,1046.024976291105,-26.761756107165812,-60.053643678190305,477
222,1415.312957371137,1668.1088446719266,-38.81124582373094,-87.10541160579798,651
223,252.39417177941942,304.6701884029541,-9.394013555585897,-24.984584239872884,233
224,1012.0130951727374,1184.520393076605,-26.938298472955672,-66.99623215092727,518
225,1448.7243539478254,1692.633158643423,-36.292830265858264,-89.00194652187302,656
226,500.24667188854636,607.478039813751,-10.890986061422863,-37.93810332344431,328
227,251.22811431429443,298.93571288796835,-8.318283699833128,-23.18852598172156,211
228,1427.7279631323004,1687.4073882220162,-38.09942911657175,-88.68343678468028,659
229,380.4058798926132,458.8982896741345,-13.00325019969056,-32.69783003261404,290
230,493.16240269313903,589.1004759124215,-22.143047151370638,-39.0087921026905,333
231,1545.1793019920215,1797.8795241405794,-43.422774111926,-93.06604270560008,681
232,1084.9729169938228,1282.4235663400807,-31.936909079205556,-69.49909881290155,532
233,1042.6415278905072,1242.1012030070115,-27.66566340049182,-69.16231347837805,542
234,1768.5384693975993,2069.0611801511845,-44.769023483101925,-104.42498810077346,757
235,1022.5989256393784,1225.0300370516068,-27.734957381063527,-67.90586930934879,530
236,1974.9508622046708,2314.9666000340835,-48.58555602521152,-112.76827716744555,806
237,78.3139185215113,90.55093442675302,-3.3644774162398745,-9.308133690297357,101
238,1582.188374488812,1848.5064826641146,-41.419560110002024,-94.41682240604041,687
239,567.1295995375809,683.0110759899003,-15.756892635225633,-41.567388404994475,352
240,1843.3510142602333,2160.745192810075,-50.283195067319205,-108.14767314890466,782
241,825.4489869793513,976.5031898676743,-22.344834861980743,-54.34097014264045,431
242,441.5733286053281,532.2928145024213,-16.223678813454455,-36.46589569674947,314
243,478.89692136530385,575.582204360848,-15.649906873547625,-38.1894121942308,330
244,196.42605692971836,244.20683963456855,-12.209438849549146,-21.160141552979425,200
245,243.2560811291652,299.0678272206474,-10.014764581126618,-24.288430903339904,231
246,1194.5362994874888,1411.0554646510818,-34.03478361309718,-77.73526380880892,589
247,650.9398945491962,781.9162461099669,-17.123634469900413,-47.29665886260948,399
248,591.1660842986784,704.2993855002154,-18.741343502761197,-44.7355584318173,378
249,1191.232505464211,1403.7401957893896,-30.52030440716236,-74.94604617330364,568
250,615.6214179590152,739.4703542803526,-18.77279729922438,-45.85916397923389,383
251,429.7963702099691,518.3283880520886,-10.389917736107442,-32.76894704370689,291
252,70.06809634699577,84.13097483012956,-4.085002494769606,-9.502720650644493,100
253,468.53024888457185,567.3436740119851,-16.512799071111232,-36.385216185141765,311
254,268.016468752158,322.2910600577628,-6.608431540419599,-18.30914616855116,162
255,355.0678345233983,431.93481604887893,-12.256253229742223,-30.714296718250502,275
256,796.327442125763,950.0826473068272,-22.391578219565336,-53.425783986808646,431
257,1464.222143063914,1713.279812489326,-40.15454261493524,-87.16918861443125,645
258,1672.8325937387513,1964.8570759303514,-43.941291609979785,-99.61788631597072,730
259,204.35620006183194,247.98583314153163,-6.20493603228337,-17.353099007107918,164
260,664.1852853700577,805.5070411435582,-22.39459068063534,-47.88611284111595,402
261,1528.6381115122604,1792.2976090379907,-39.640050016874135,-92.31541701103325,675
262,358.5469645128882,430.00197130080306,-16.520356596341472,-29.997185026055693,265
263,1742.8766056082818,2041.403293591856,-47.495142837183174,-100.69463902323899,729
264,577.4408159840771,691.158095116012,-18.030139732344033,-45.18661863001653,378
265,113.43257481913166,137.833878843209,-6.757743644778774,-16.088395121866217,166
266,1438.3066471724676,1694.646401678977,-39.12561484817863,-88.46703083547298,650
267,258.09908316005465,318.04270646060814,-9.038244363185159,-23.936473031341805,219
