index,reward,los_yaw_reward,los_pitch_reward,range_reward,range_response_reward,body_rate_reward,action_smooth_reward,terminal_event_reward,steps
73,-11054.93018231173,3000.0,-2952.5723734287258,2937.787157339951,-2497.0177620844224,-1854.0051654973718,1089.1180676298206,-11808,3000
74,-10670.912655797443,3000.0,-2952.426857547023,2984.1230769230733,-2303.5777022015172,-1663.1329993917525,884.2267151421277,-11454,3000
75,-11309.28953173034,3000.0,-2952.4007910221158,2983.5076923076886,-2427.1257493250896,-1818.8460899598845,856.8822860299454,-12078,3000
76,-11434.233830625832,3000.0,-2952.5016816111997,2974.1538461538403,-2558.032616496064,-2337.404956027253,990.7816677778005,-12174,3000
77,-12793.07382729898,3000.0,-2952.5183303508047,2788.8030916938674,-2463.740186758405,-1165.921587487007,888.8162882088577,-13524,3000
78,-10514.523464893773,3000.0,-2952.57536091043,2984.9538461538427,-2426.8743152526663,-2097.2937187230527,930.981521072838,-11274,3000
79,-11790.035114308022,3000.0,-2952.59449150063,2791.807294464119,-1847.4521235645457,-2222.701370012001,1158.5983825732278,-12522,3000
80,-12229.47874824929,3000.0,-2952.5639636635956,2667.541365653983,-2343.77271360234,-1116.162221332796,850.0668082409381,-12930,3000
81,-11468.86071462135,3000.0,-2952.4104104828893,2985.384615384612,-2348.281575420797,-1698.8532363090628,771.9281909135171,-12246,3000
82,-12111.752391408638,3000.0,-2952.6176188540558,2471.315968948653,-2040.9828882944955,-1751.3991674281738,938.9537574359485,-12744,3000
83,-11480.709432573603,3000.0,-2952.5851484025657,2581.703561358894,-2192.80096786517,-1289.847584970582,856.7319794918419,-12156,3000
84,-10694.584222498968,3000.0,-2952.6101772290917,2950.6153846153734,-2236.546993785164,-2017.913942537416,1048.1743226812969,-11460,3000
85,-11534.003700609432,3000.0,-2952.4800541667782,2984.861538461535,-2417.220663423515,-1732.6005342041283,798.5743290369793,-12306,3000
86,-11025.070739772596,3000.0,-2952.471232335654,2998.7692307692305,-2205.6086059165773,-2289.991797947862,702.5044703331448,-11790,3000
87,-11892.38375944953,3000.0,-2952.467596276652,2984.0307692307656,-2445.9412276447742,-1950.6957693967195,815.0164578328242,-12654,3000
88,-12302.009967139786,3000.0,-2952.6476458714824,2640.583615517034,-2166.3438071957116,-1363.8581816993737,919.2740075346176,-12996,3000
89,-12019.558581720446,3000.0,-2952.4074345473314,2984.4307692307657,-2415.041827066729,-1862.646263409923,780.1155433479572,-12786,3000
90,-11547.497636818649,3000.0,-2952.4337471161616,2984.3999999999965,-2385.1704117048516,-1806.6375513580474,782.444697959515,-12318,3000
91,-9516.452595860334,3000.0,-2952.544876819465,2972.272925172181,-2407.2474972132723,-1169.224733243636,1121.9134746598108,-10314,3000
92,-11985.574794160402,3000.0,-2952.5074462043303,2971.9692307692244,-2527.406919424615,-2355.2349547940325,1002.5626424479203,-12726,3000
93,-11857.684133758808,3000.0,-2952.3940801226595,2985.015384615381,-2405.2734396694054,-1877.9538577713383,765.5806104258124,-12624,3000
94,-11411.269470312262,3000.0,-2952.4860201609213,2974.8307692307635,-2391.3084887765563,-2167.592539836025,988.1210372360962,-12168,3000
95,-12002.226972583328,3000.0,-2952.407831886101,2984.5230769230734,-2447.432124842035,-1841.3619465245886,799.8276657378278,-12768,3000
96,-8763.711664034041,3000.0,-2951.7930825140115,2984.6769230769196,-2534.5491400281285,-1964.4134779318874,920.7496822827684,-9522,3000
97,-9582.932516250205,3000.0,-2951.769909507893,2394.9576189357495,-1797.8736379412476,-2250.973235818514,1057.9382625328037,-10188,3000
98,-7462.132561760422,3000.0,-2952.030755260642,2966.1449648178814,-2322.0394241762947,-1201.2841762129417,836.2311099578528,-8256,3000
99,-7772.721162896204,3000.0,-2951.934892050558,2977.5384615384564,-2551.0203258304864,-2225.2167782283896,1057.778994302865,-8520,3000
100,-9060.978004008502,3000.0,-2951.9089708580123,2975.8769230769176,-2437.0905723576707,-1992.5377380856419,963.9595768408984,-9822,3000
101,-7841.562575691539,3000.0,-2952.1221805089617,2971.8103429498015,-2421.781760258781,-1135.57537284168,843.3569170817211,-8634,3000
102,-9446.383913029224,3000.0,-2952.0585242016527,2968.2461538461466,-2505.909386274888,-2109.394611224191,858.3196069205932,-10194,3000
103,-9240.212527675098,3000.0,-2952.240750633888,2975.5999999999945,-2745.3275479689664,-2561.352591800464,974.3136111846833,-9960,3000
104,-9618.911976839107,3000.0,-2952.0512487226115,2504.4086665069613,-1719.251106986806,-2234.7489808507316,1143.9341900813088,-10266,3000
105,-9900.35850603723,3000.0,-2952.122745450474,2974.1538461538403,-2609.185908906497,-2313.220413511436,983.575722424553,-10638,3000
106,-8987.263563836883,3000.0,-2952.0904417793718,2976.1230769230715,-2631.336142080281,-2298.553748624755,1043.4152807188252,-9726,3000
107,-7661.242734227423,3000.0,-2952.3103531128477,2713.3055424125605,-2159.675577854253,-1739.0193512447047,919.0060620816674,-8364,3000
108,-9576.01087550122,3000.0,-2952.023039580144,2970.6769230769164,-2388.590899104351,-2041.28547841596,1049.3375883098583,-10338,3000
109,-7709.305379735338,3000.0,-2952.315609041429,2964.4923076922996,-2536.9829591416174,-1525.1812089337984,901.2151130905984,-8478,3000
110,-6789.336399985669,3000.0,-2952.4212176314777,1505.2951224783951,-1913.6410429475318,-2348.8764584500123,1025.8735573412168,-7098,3000
